matrix_size,iteration_norm,error_delta_normed,duration,error_time
500,0.444,0.018567436579,0.064668,0.287119387935
500,0.446,0.0194142969922,0.063462,0.305920030761
500,0.448,0.0203347162176,0.058191,0.349447787761
500,0.45,0.0209149903403,0.073083,0.286181332735
500,0.452,0.0219743499542,0.096819,0.226963198899
500,0.454,0.0231376301208,0.088759,0.260679256422
500,0.456,0.0239415145721,0.065019,0.368223358896
500,0.458,0.0253122405112,0.057626,0.43925034726
500,0.46,0.0268377546768,0.056651,0.473738410209
500,0.462,0.0279914764774,0.058335,0.479840172751
500,0.464,0.029846072499,0.057851,0.515912819122
500,0.466,0.031948064689,0.055678,0.573800508082
500,0.468,0.0336898664189,0.062146,0.542108364478
500,0.47,0.0363591408739,0.05978,0.608215805853
500,0.472,0.039464869343,0.057209,0.68983672749
500,0.474,0.0423009345311,0.062721,0.674430167426
500,0.476,0.0465103395149,0.058705,0.792272200238
500,0.478,0.0516130265852,0.066164,0.78007718072
500,0.48,0.0568272905002,0.05992,0.948386023035
500,0.482,0.0645341394509,0.061533,1.04877284467
500,0.484,0.0745878403661,0.059944,1.24429201198
500,0.486,0.0865726118098,0.062774,1.37911574553
500,0.488,0.10543663983,0.069083,1.52623134244
500,0.49,0.134633922846,0.068284,1.97167598334
500,0.492,0.182274680106,0.060471,3.01424947671
500,0.494,0.291832292814,0.076974,3.79130995939
500,0.496,0.999999999972,0.063574,15.7297008206
1000,0.001,0.0010035125458,0.002099,0.478090779322
1000,0.002,0.00150867573969,0.002487,0.606624744546
1000,0.003,0.000756334407965,0.002903,0.260535448834
1000,0.004,0.00101010126788,0.002148,0.470251986911
1000,0.005,0.00126534278189,0.00227,0.557419727704
1000,0.006,0.00084552310713,0.002324,0.363822335254
1000,0.007,0.00101643258521,0.002373,0.428332315722
1000,0.008,0.00118835454932,0.002461,0.482874664496
1000,0.009,0.000893256096084,0.002506,0.356446965716
1000,0.01,0.0010227565959,0.002585,0.395650520658
1000,0.011,0.00115303350113,0.00247,0.466815182644
1000,0.012,0.000924451946358,0.002704,0.341883116257
1000,0.013,0.00102912448792,0.003346,0.30756858575
1000,0.014,0.00113443031414,0.004388,0.258530153633
1000,0.015,0.000947418497875,0.003812,0.248535807417
